DATA,ATIVO,COTAS,VLR COTA
2014-06-09 00:00:00,,,
2014-06-20 00:00:00,,,
2014-06-23 00:00:00,ETER3,100.0,8.48
2014-07-22 00:00:00,,,
2014-07-29 00:00:00,BBAS3,400.0,
2014-07-29 00:00:00,,,
2014-07-30 00:00:00,,,
2014-07-31 00:00:00,ETER3,100.0,8.52
2014-08-07 00:00:00,ETER3,100.0,8.59
2014-08-13 00:00:00,VALE5,80.0,27.76
2014-08-19 00:00:00,BBAS3,-200.0,29.98
2014-08-25 00:00:00,ETER3,200.0,8.39
2014-08-27 00:00:00,VALE5,50.0,27.25
2014-08-28 00:00:00,ETER3,,
2014-08-28 00:00:00,VALE5,70.0,26.12
2014-08-29 00:00:00,BBAS3,,
2014-09-01 00:00:00,ETER3,100.0,8.36
2014-09-02 00:00:00,BBAS3,-200.0,35.9
2014-09-05 00:00:00,VALE5,100.0,24.7
2014-09-05 00:00:00,,,
2014-09-12 00:00:00,ETER3,200.0,7.87
2014-10-01 00:00:00,ETER3,800.0,0.0
2014-10-31 00:00:00,VALE5,,
2014-10-31 00:00:00,,,
2014-11-27 00:00:00,ETER3,,
2014-11-28 00:00:00,,,
2015-02-06 00:00:00,ETER3,-1600.0,3.1
2015-02-11 00:00:00,,,
2015-03-31 00:00:00,ETER3,,
2015-04-30 00:00:00,VALE5,,
2015-06-09 00:00:00,VALE5,-300.0,17.0
TOTAL,,0.0,
,,,
,,,
2016-03-11 00:00:00,,,
2016-03-15 00:00:00,PETR4,200.0,6.7
2016-03-16 00:00:00,,,
2016-03-16 00:00:00,BBAS3,100.0,18.22
2016-03-17 00:00:00,PETRD10,100.0,0.3
2016-03-17 00:00:00,PETR4,-200.0,8.14
2016-03-23 00:00:00,BBAS3,-100.0,21.0
2016-03-23 00:00:00,PETR4,500.0,7.9
2016-03-30 00:00:00,PETR4,-500.0,9.0
2016-04-04 00:00:00,PETR4,600.0,7.8
2016-04-08 00:00:00,PETR4,-600.0,8.25
2016-04-27 00:00:00,CMIG3,600.0,7.48
2016-07-20 00:00:00,,,
2016-07-21 00:00:00,ITSA4,100.0,8.34
2016-07-26 00:00:00,,,
2016-07-26 00:00:00,CMIG3,400.0,8.9
2016-07-27 00:00:00,,,
2016-07-27 00:00:00,PETR4,100.0,11.65
2016-07-28 00:00:00,BBAS3,49.0,20.69
2016-07-28 00:00:00,BBAS3,51.0,20.7
2016-08-02 00:00:00,TAEE11,100.0,23.35
2016-08-01 00:00:00,NTNB,,
2016-08-02 00:00:00,,,
2016-08-04 00:00:00,,,
2016-08-04 00:00:00,ITSA4,100.0,8.66
2016-08-09 00:00:00,KLBN4,500.0,2.51
2016-08-15 00:00:00,NTNB,,
2016-08-16 00:00:00,PETRI29,10000.0,0.01
2016-08-11 00:00:00,ETER3,800.0,1.76
2016-08-18 00:00:00,,,
2016-08-18 00:00:00,CMIG3,100.0,9.44
2016-08-18 00:00:00,ETER3,200.0,1.73
2016-08-24 00:00:00,CMIG3,100.0,8.85
2016-08-25 00:00:00,ITSA4,,
2016-08-26 00:00:00,ITSA4,100.0,8.55
2016-08-29 00:00:00,TAEE11,,
2016-08-29 00:00:00,TAEE11,,
2016-08-30 00:00:00,NTNB,,
2016-08-31 00:00:00,ITSA4,100.0,8.57
2016-08-31 00:00:00,BBAS3,,
2016-09-02 00:00:00,,,
2016-09-02 00:00:00,ETER3,800.0,1.65
2016-09-02 00:00:00,KLBN4,500.0,2.58
2016-09-08 00:00:00,,,
2016-09-02 00:00:00,ITSA4,200.0,8.41
2016-09-20 00:00:00,,,
2016-09-20 00:00:00,CMIG3,100.0,8.6
2016-09-26 00:00:00,,,
2016-09-26 00:00:00,NTNB,,
2016-09-26 00:00:00,NTNB,,
2016-09-30 00:00:00,BBAS3,,
2016-10-03 00:00:00,,,
2016-10-03 00:00:00,TAEE11,100.0,20.81
2016-10-03 00:00:00,ITSA4,,
2016-10-06 00:00:00,,,
2016-10-10 00:00:00,,,
2016-10-10 00:00:00,ITSA4,200.0,8.81
2016-10-11 00:00:00,NTNB,,
2016-10-17 00:00:00,,,
2016-10-20 00:00:00,,,
2016-10-20 00:00:00,CMIG3,200.0,8.85
2016-10-25 00:00:00,,,
2016-10-25 00:00:00,ITSA4,200.0,8.81
2016-10-31 00:00:00,,,
2016-11-01 00:00:00,TAEE11,76.0,20.46
2016-11-09 00:00:00,,,
2016-11-09 00:00:00,NTNB,,
2016-11-14 00:00:00,CMIG3,100.0,8.94
2016-11-14 00:00:00,KLBN4,,
2016-11-16 00:00:00,,,
2016-11-16 00:00:00,TAEE11,60.0,18.58
2016-11-18 00:00:00,,,
2016-11-18 00:00:00,TAEE11,64.0,18.83
2016-11-18 00:00:00,NTNB,,
2016-11-22 00:00:00,,,
2016-11-23 00:00:00,ITSA4,100.0,8.74
2016-11-29 00:00:00,BBAS3,,
2016-12-01 00:00:00,,,
2016-12-01 00:00:00,CMIG3,200.0,7.75
2016-12-02 00:00:00,NTNB,,
2016-12-05 00:00:00,TAEE11,,
2016-12-07 00:00:00,,,
2016-12-09 00:00:00,ITSA4,100.0,8.19
2016-12-12 00:00:00,NTNB,,
2016-12-19 00:00:00,,,
2016-12-20 00:00:00,,,
2016-12-20 00:00:00,NTNB,,
2016-12-20 00:00:00,ITSA4,100.0,7.93
2016-12-29 00:00:00,BBAS3,,
2016-12-29 00:00:00,CMIG3,,
2017-01-02 00:00:00,ITSA4,,
2017-01-02 00:00:00,,,
2017-01-02 00:00:00,ETER3,500.0,1.42
2017-01-04 00:00:00,KLBN4,300.0,2.81
2017-01-11 00:00:00,,,
2017-01-16 00:00:00,ITSA4,100.0,8.7
2017-01-23 00:00:00,,,
2017-01-23 00:00:00,HGTX3,100.0,15.73
2017-01-23 00:00:00,NTNB,,
2017-01-30 00:00:00,,,
2017-01-31 00:00:00,,,
2017-02-01 00:00:00,,,
2017-02-01 00:00:00,HGTX3,100.0,15.54
2017-02-01 00:00:00,KLBN4,500.0,2.79
2017-02-06 00:00:00,NTNB,,
2017-02-15 00:00:00,NTNB,,
2017-02-15 00:00:00,NTNB,,
2017-03-02 00:00:00,,,
2017-03-03 00:00:00,ITSA4,,
2017-03-06 00:00:00,ITSA4,100.0,10.01
2017-03-10 00:00:00,BBAS3,,
2017-03-13 00:00:00,,,
2017-03-14 00:00:00,PETR4,100.0,13.9
2017-03-14 00:00:00,NTNB,,
2017-03-17 00:00:00,,,
2017-03-28 00:00:00,NTNB,,
2017-03-28 00:00:00,ITSA4,100.0,9.68
2017-03-31 00:00:00,BBAS3,,
2017-04-03 00:00:00,ITSA4,,
2017-04-04 00:00:00,,,
2017-04-04 00:00:00,NTNB,,
2017-04-04 00:00:00,ETER3,1000.0,1.31
2017-04-06 00:00:00,ITSA4,,
2017-05-12 00:00:00,KLBN4,,
2017-05-12 00:00:00,TAEE11,,
2017-05-22 00:00:00,CMIG3,100.0,7.89
2017-05-24 00:00:00,,,
2017-05-24 00:00:00,NTNB,,
2017-05-24 00:00:00,CMIG3,100.0,7.89
2017-05-31 00:00:00,HGTX3,,
2017-05-31 00:00:00,TAEE11,,
2017-05-31 00:00:00,BBAS3,,
2017-05-31 00:00:00,,,
2017-05-31 00:00:00,ITSA4,200.0,8.93
2017-06-07 00:00:00,,,
2017-06-08 00:00:00,CSNA3,300.0,6.48
2017-06-13 00:00:00,,,
2017-06-13 00:00:00,ITSA4,200.0,8.84
2017-06-19 00:00:00,AJUSTE,,
2017-06-19 00:00:00,NTNB,,
2017-06-28 00:00:00,HGTX3,,
2017-06-30 00:00:00,CMIG3,,
2017-06-30 00:00:00,BBAS3,,
2017-07-03 00:00:00,NTNB,,
2017-07-03 00:00:00,ITSA4,,
2017-07-03 00:00:00,,,
2017-07-06 00:00:00,,,
2017-07-06 00:00:00,NTNB,,
2017-07-06 00:00:00,HGTX3,70.0,19.5
2017-07-13 00:00:00,CSNA3,-300.0,7.8
2017-07-14 00:00:00,BCFF11,35.0,67.96
2017-07-20 00:00:00,,,
2017-07-24 00:00:00,BCFF11,28.0,69.71
2017-08-01 00:00:00,,,
2017-08-02 00:00:00,BCFF11,30.0,69.79
2017-08-09 00:00:00,,,
2017-08-11 00:00:00,BCFF11,27.0,69.5
2017-08-14 00:00:00,BCFF11,,
2017-08-14 00:00:00,NTNB,,
2017-08-17 00:00:00,HGTX3,,
2017-08-17 00:00:00,,,
2017-08-18 00:00:00,BCFF11,30.0,69.75
2017-08-25 00:00:00,ITSA4,,
2017-08-31 00:00:00,TAEE11,,
2017-08-31 00:00:00,BBAS3,,
2017-09-15 00:00:00,BCFF11,,
2017-09-25 00:00:00,,,
2017-09-25 00:00:00,BCFF11,30.0,70.15
2017-09-28 00:00:00,,,
2017-09-28 00:00:00,BCFF11,25.0,70.11
2017-09-29 00:00:00,,,
2017-09-28 00:00:00,KLBN4,700.0,3.33
2017-10-09 00:00:00,,,
2017-10-09 00:00:00,BCFF11,20.0,73.9
2017-10-10 00:00:00,,,
2017-10-16 00:00:00,BCFF11,,
2017-10-16 00:00:00,TAEE11,35.0,21.97
2017-10-20 00:00:00,,,
2017-10-20 00:00:00,CMIG3,200.0,8.1
2017-10-25 00:00:00,HGTX3,,
2017-10-31 00:00:00,,,
2017-10-31 00:00:00,BCFF11,30.0,75.82
2017-11-09 00:00:00,,,
2017-11-09 00:00:00,VISC11,10.0,102.52
2017-11-10 00:00:00,BCFF11,15.0,76.5
2017-11-14 00:00:00,KLBN4,,
2017-11-16 00:00:00,BCFF11,,
2017-11-20 00:00:00,,,
2017-11-23 00:00:00,ABCB4,100.0,16.57
2017-11-27 00:00:00,,,
2017-11-27 00:00:00,BCFF11,30.0,78.03
2017-11-27 00:00:00,VISC11,10.0,101.1
2017-11-29 00:00:00,CMIG3,300.0,6.57
2017-11-29 00:00:00,TAEE11,,
2017-11-29 00:00:00,,,
2017-11-30 00:00:00,BBAS3,,
2017-12-04 00:00:00,,,
2017-12-04 00:00:00,VISC11,10.0,99.3
2017-12-06 00:00:00,BCFF11,15.0,78.95
2017-12-06 00:00:00,,,
2017-12-06 00:00:00,ABCB4,100.0,15.91
2017-12-06 00:00:00,NTNB,,
2017-12-11 00:00:00,,,
2017-12-11 00:00:00,ABCB4,100.0,15.76
2017-12-11 00:00:00,BCFF11,15.0,77.71
2017-12-13 00:00:00,HGTX3,,
2017-12-14 00:00:00,BCFF11,,
2017-12-14 00:00:00,VISC11,,
2017-12-17 00:00:00,TAEE11,40.0,20.91
2017-12-26 00:00:00,,,
2017-12-26 00:00:00,VISC11,10.0,101.98
2017-12-28 00:00:00,BBAS3,,
2017-12-28 00:00:00,CMIG3,,
2017-12-28 00:00:00,TAEE11,,
2018-01-02 00:00:00,ITSA4,,
2018-01-02 00:00:00,NTNB,,
2018-01-02 00:00:00,,,
2018-01-04 00:00:00,BCFF11,30.0,79.05
2017-12-26 00:00:00,,,
2018-01-15 00:00:00,VISC11,,
2018-01-15 00:00:00,BCFF11,,
2018-01-23 00:00:00,TAEE11,100.0,20.32
2018-01-29 00:00:00,BCFF11,15.0,80.8
2018-02-01 00:00:00,,,
2018-02-06 00:00:00,KLBN4,300.0,3.18
2018-02-07 00:00:00,,,
2018-02-07 00:00:00,VISC11,10.0,109.89
2018-02-09 00:00:00,ABCB4,10.0,12.46
2018-02-09 00:00:00,ABCB4,,
2018-02-16 00:00:00,NTNB,,
2018-02-16 00:00:00,BCFF11,,
2018-02-16 00:00:00,VISC11,,
2018-02-16 00:00:00,BCFF11,15.0,84.94
2018-02-19 00:00:00,KLBN4,,
2018-02-22 00:00:00,BCFF11,15.0,84.99
2018-02-26 00:00:00,,,
2018-02-26 00:00:00,BCFF11,20.0,84.99
2018-02-27 00:00:00,BCFF11,25.0,84.36
2018-02-28 00:00:00,NTNB,,
2018-03-02 00:00:00,,,
2018-03-02 00:00:00,RBGS11,20.0,49.1
2018-03-05 00:00:00,ABCB4,100.0,18.87
2018-03-07 00:00:00,ITSA4,,
2018-03-07 00:00:00,ITSA4,,
2018-03-07 00:00:00,RBGS11,25.0,49.87
2018-03-09 00:00:00,,,
2018-03-09 00:00:00,BCFF11,30.0,83.05
2018-03-12 00:00:00,BBAS3,,
2018-03-13 00:00:00,EDGA11,26.0,46.69
2018-03-14 00:00:00,VISC11,,
2018-03-14 00:00:00,BCFF11,,
2018-03-14 00:00:00,,,
2018-03-13 00:00:00,SDIL11,10.0,102.03
2018-03-20 00:00:00,,,
2018-03-20 00:00:00,ECOR3,200.0,8.35
2018-03-23 00:00:00,BCFF11,1.0,85.15
2018-03-27 00:00:00,SDIL11,10.0,101.4
2018-03-29 00:00:00,BBAS3,,
2018-03-29 00:00:00,EDGA11,,
2018-04-02 00:00:00,ITSA4,,
2018-04-03 00:00:00,,,
2018-04-05 00:00:00,ITSA4,,
2018-04-05 00:00:00,ITSA4,45.0,7.8
2018-04-05 00:00:00,,,
2018-04-05 00:00:00,BCFF11,19.0,88.0
2018-04-13 00:00:00,BCFF11,,
2018-04-13 00:00:00,RBGS11,,
2018-04-13 00:00:00,SDIL11,,
2018-04-13 00:00:00,VISC11,,
2018-04-30 00:00:00,EDGA11,,
2018-04-30 00:00:00,,,
2018-04-30 00:00:00,EDGA11,20.0,44.78
2018-05-04 00:00:00,VISC11,10.0,107.41
2018-05-07 00:00:00,FIGS11,20.0,78.03
2018-05-08 00:00:00,FIGS11,25.0,77.02
2018-05-11 00:00:00,TAEE11,,
2018-05-14 00:00:00,KLBN4,,
2018-05-15 00:00:00,ECOR3,,
2018-05-15 00:00:00,HGTX3,,
2018-05-15 00:00:00,BCFF11,,
2018-05-15 00:00:00,RBGS11,,
2018-05-15 00:00:00,SDIL11,,
2018-05-15 00:00:00,VISC11,,
2018-05-17 00:00:00,,,
2018-05-17 00:00:00,NTNB,,
2018-05-17 00:00:00,TAEE11,50.0,18.9
2018-05-18 00:00:00,SDIL11,10.0,93.7
2018-05-21 00:00:00,NTNB,,
2018-05-23 00:00:00,TAEE11,,
2018-05-24 00:00:00,,,
2018-05-24 00:00:00,SDIL11,10.0,88.22
2018-05-25 00:00:00,ECOR3,100.0,8.01
2018-05-25 00:00:00,NTNB,,
2018-05-29 00:00:00,PETR4,,
2018-05-30 00:00:00,BBAS3,,
2018-05-30 00:00:00,EDGA11,,
2018-06-01 00:00:00,,,
2018-06-01 00:00:00,ITSA4,100.0,10.15
2018-06-05 00:00:00,,,
2018-06-05 00:00:00,HGTX3,100.0,17.82
2018-06-05 00:00:00,ITSA4,206.0,
2018-06-07 00:00:00,,,
2018-06-07 00:00:00,SPTW11,10.0,70.6
2018-06-12 00:00:00,FIGS11,9.0,67.88
2018-06-14 00:00:00,BCFF11,,
2018-06-14 00:00:00,FIGS11,,
2018-06-14 00:00:00,VISC11,,
2018-06-14 00:00:00,RBGS11,,
2018-06-14 00:00:00,SDIL11,,
2018-06-18 00:00:00,FIGS11,6.0,65.6
2018-06-21 00:00:00,,,
2018-06-21 00:00:00,SDIL11,11.0,81.5
2018-06-27 00:00:00,HGTX3,,
2018-06-27 00:00:00,,,
2018-06-27 00:00:00,SPTW11,10.0,72.0
2018-06-28 00:00:00,VISC11,10.0,99.82
2018-06-29 00:00:00,BBAS3,,
2018-06-29 00:00:00,EDGA11,,
2018-07-02 00:00:00,ITSA4,,
2018-07-02 00:00:00,NTNB,,
2018-07-03 00:00:00,,,
2018-07-03 00:00:00,NTNB,,
2018-07-03 00:00:00,HGTX3,30.0,14.39
2018-07-05 00:00:00,,,
2018-07-05 00:00:00,SDIL11,10.0,88.78
2018-07-05 00:00:00,SAPR4,100.0,8.92
2018-07-06 00:00:00,SPTW11,,
2018-07-11 00:00:00,,,
2018-07-11 00:00:00,FIGS11,10.0,68.5
2018-07-11 00:00:00,XPLG11,5.0,96.0
2018-07-13 00:00:00,RBGS11,,
2018-07-16 00:00:00,VISC11,,
2018-07-16 00:00:00,SDIL11,,
2018-07-16 00:00:00,FIGS11,,
2018-07-16 00:00:00,BCFF11,,
2018-07-18 00:00:00,,,
2018-07-18 00:00:00,XPLG11,5.0,95.5
2018-07-18 00:00:00,SPTW11,10.0,73.6
2018-07-18 00:00:00,NTNB,,
2018-07-20 00:00:00,,,
2018-07-20 00:00:00,RBRR11,5.0,95.7
2018-07-24 00:00:00,MXRF11,50.0,10.03
2018-07-31 00:00:00,EDGA11,,
2018-07-31 00:00:00,,,
2018-07-31 00:00:00,BPFF11,8.0,91.65
2018-08-06 00:00:00,,,
2018-08-07 00:00:00,,,
2018-08-07 00:00:00,SPTW11,,
2018-08-07 00:00:00,BPFF11,,
2018-08-07 00:00:00,BPFF11,7.0,90.1
2018-08-07 00:00:00,MXRF11,50.0,10.1
2018-08-07 00:00:00,NTNB,,
2018-08-08 00:00:00,FIGS11,10.0,66.5
2018-08-09 00:00:00,EDGA11,10.0,38.1
2018-08-09 00:00:00,SPTW11,10.0,72.4
"10/08,2018",ABCB4,,
2018-08-10 00:00:00,ABCB4,15.0,12.136666666666667
2018-08-14 00:00:00,XPLG11,,
2018-08-14 00:00:00,VISC11,,
2018-08-14 00:00:00,SDIL11,,
2018-08-14 00:00:00,RBGS11,,
2018-08-14 00:00:00,MXRF11,,
2018-08-14 00:00:00,FIGS11,,
2018-08-14 00:00:00,BCFF11,,
2018-08-15 00:00:00,KLBN4,,
2018-08-15 00:00:00,NTNB,,
2018-08-15 00:00:00,BMEB4,100.0,5.52
2018-08-16 00:00:00,RBRR11,,
2018-08-16 00:00:00,EDGA11,10.0,38.55
2018-08-17 00:00:00,,,
2018-08-20 00:00:00,TAEE11,,
2018-08-20 00:00:00,TAEE11,,
2018-08-20 00:00:00,ABCB4,60.0,14.93
2018-08-20 00:00:00,MXRF11,30.0,10.11
2018-08-22 00:00:00,NTNB,,
2018-08-23 00:00:00,PETR4,,
2018-08-28 00:00:00,ITSA4,,
2018-08-30 00:00:00,ITSA4,,
2018-08-30 00:00:00,NTNB,,
2018-08-31 00:00:00,,,
2018-08-31 00:00:00,BCFF11,10.0,77.9
2018-08-31 00:00:00,NTNF,,
2018-09-03 00:00:00,XPLG11,8.0,89.3
2018-09-05 00:00:00,,,
2018-09-05 00:00:00,NTNF,,
2018-09-05 00:00:00,VISC11,10.0,97.97
2018-09-06 00:00:00,,,
2018-09-06 00:00:00,BCFF11,10.0,78.15
2018-09-06 00:00:00,RBRR11,5.0,97.5
2018-09-10 00:00:00,NTNF,,
2018-09-11 00:00:00,ABCB4,50.0,14.43
2018-09-11 00:00:00,,,
2018-09-13 00:00:00,SDIL11,9.0,90.0
2018-09-13 00:00:00,MXRF11,25.0,10.0
2018-09-17 00:00:00,XPLG11,,
2018-09-17 00:00:00,SDIL11,,
2018-09-17 00:00:00,RBGS11,,
2018-09-17 00:00:00,MXRF11,,
2018-09-17 00:00:00,FIGS11,,
2018-09-17 00:00:00,BCFF11,,
2018-09-17 00:00:00,VISC11,,
2018-09-17 00:00:00,NTNF,,
2018-09-18 00:00:00,,,
2018-09-18 00:00:00,XPLG11,5.0,87.9
2018-09-21 00:00:00,,,
2018-09-22 00:00:00,ABCB4,50.0,14.35
2018-09-22 00:00:00,FIGS11,10.0,67.68
2018-09-24 00:00:00,ITSA4,50.0,9.7
2018-09-24 00:00:00,,,
2018-09-24 00:00:00,TIET11,100.0,9.66
2018-09-24 00:00:00,EDGA11,10.0,37.05
2018-09-24 00:00:00,MXRF11,45.0,9.82
2018-09-26 00:00:00,NTNF,,
2018-10-01 00:00:00,ITSA4,,
2018-10-03 00:00:00,,,
2018-10-03 00:00:00,SPTW11,10.0,71.15
2018-10-04 00:00:00,XPLG11,7.0,86.97
2018-10-05 00:00:00,,,
2018-10-05 00:00:00,BPFF11,,
2018-10-05 00:00:00,SPTW11,,
2018-10-05 00:00:00,ECOR3,100.0,7.81
2018-10-05 00:00:00,VISC11,10.0,96.91
2018-10-05 00:00:00,NTNF,,
2018-10-15 00:00:00,BCFF11,,
2018-10-15 00:00:00,VISC11,,
2018-10-15 00:00:00,SDIL11,,
2018-10-15 00:00:00,RBGS11,,
2018-10-15 00:00:00,FIGS11,,
2018-10-15 00:00:00,XPLG11,,
2018-10-15 00:00:00,MXRF11,,
2018-10-15 00:00:00,,,
2018-10-16 00:00:00,BPFF11,2.0,87.29
2018-10-16 00:00:00,MXRF11,50.0,9.86
2018-10-17 00:00:00,GGRC11,5.0,122.68
2018-10-17 00:00:00,RBRR11,,
2018-10-19 00:00:00,,,
2018-10-19 00:00:00,ABCB4,50.0,15.07
2018-10-19 00:00:00,FIGS11,5.0,67.11
2018-10-26 00:00:00,,,
2018-10-26 00:00:00,MXRF11,1.0,9.87
2018-10-30 00:00:00,GGRC11,5.0,123.25
2018-10-31 00:00:00,,,
2018-10-31 00:00:00,ABCB4,50.0,15.98
2018-11-01 00:00:00,GGRC11,9.0,123.34
2018-11-07 00:00:00,,,
2018-11-08 00:00:00,BPFF11,,
2018-11-08 00:00:00,SPTW11,,
2018-11-08 00:00:00,BMEB4,100.0,5.86
2018-11-08 00:00:00,NTNF,,
2018-11-08 00:00:00,,,
2018-11-09 00:00:00,RBRR11,5.0,100.72
2018-11-09 00:00:00,GGRC11,,
2018-11-12 00:00:00,NTNF,,
2018-11-13 00:00:00,,,
2018-11-14 00:00:00,KLBN4,,
2018-11-16 00:00:00,XPLG11,,
2018-11-16 00:00:00,VISC11,,
2018-11-16 00:00:00,SDIL11,,
2018-11-16 00:00:00,RGBS11,,
2018-11-16 00:00:00,MXRF11,,
2018-11-16 00:00:00,FIGS11,,
2018-11-16 00:00:00,BCFF11,,
2018-11-16 00:00:00,ECOR3,,
2018-11-16 00:00:00,SAPR4,100.0,10.42
2018-11-16 00:00:00,VISC11,5.0,103.9
2018-11-21 00:00:00,,,
2018-11-21 00:00:00,ABCB4,100.0,15.97
2018-11-21 00:00:00,RBRR11,,
2018-11-22 00:00:00,TIET11,,
2018-11-22 00:00:00,TAEE11,,
2018-11-22 00:00:00,SPTW11,7.0,73.69
2018-11-26 00:00:00,,,
2018-11-27 00:00:00,SPTW11,8.0,74.7
2018-11-27 00:00:00,BPFF11,6.0,89.99
2018-11-28 00:00:00,,,
2018-11-28 00:00:00,RBRR11,5.0,100.95
2018-11-29 00:00:00,,,
2018-11-29 00:00:00,PMAM3,500.0,1.49
2018-11-29 00:00:00,XPLG11,10.0,95.3
2018-11-30 00:00:00,BBAS3,,
2018-12-03 00:00:00,PETR4,,
2018-12-04 00:00:00,SDIL11,10.0,91.17
2018-12-04 00:00:00,,,
2018-12-05 00:00:00,,,
2018-12-05 00:00:00,,,
2018-12-06 00:00:00,,,
2018-12-06 00:00:00,NTNF,,
2018-12-07 00:00:00,BPFF11,,
2018-12-07 00:00:00,SPTW11,,
2018-12-07 00:00:00,SPTW11,10.0,73.38
2018-12-10 00:00:00,,,
2018-12-10 00:00:00,GGRC11,,
2018-12-10 00:00:00,NTNF,,
2018-12-10 00:00:00,XPLG11,5.0,96.35
2018-12-11 00:00:00,MXRF11,49.0,10.08
2018-12-11 00:00:00,WIZS3,100.0,6.94
2018-12-12 00:00:00,SAPR4,100.0,10.62
2018-12-12 00:00:00,SAPR4,-100.0,10.61
2018-12-14 00:00:00,RBGS11,,
2018-12-14 00:00:00,XPLG11,,
2018-12-14 00:00:00,SDIL11,,
2018-12-14 00:00:00,VISC11,,
2018-12-14 00:00:00,FIGS11,,
2018-12-14 00:00:00,BCFF11,,
2018-12-14 00:00:00,WIZS3,100.0,7.1
